Recall,Precision,Threshold
0.01,1.0,0.8527182
0.02,1.0,0.8391147
0.05,0.9166666666666666,0.79715574
0.1,0.8148148148148148,0.771819
0.2,0.8301886792452831,0.732574
0.3,0.825,0.699298
0.4,0.7213114754098361,0.66431296
0.5,0.7096774193548387,0.6334649
0.6,0.7021276595744681,0.599772
0.7,0.7096774193548387,0.5850933
0.8,0.6692015209125475,0.5436223
0.9,0.6285714285714286,0.48478106
1.0,0.5597964376590331,0.33672398
